rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
228,frame_0201.jpg,80.4,0.2004,0.1768,0.0,0.56,3,0,False,False
229,frame_0093.jpg,37.2,0.1971,0.1982,0.1667,0.24,6,1,False,False
230,frame_0096.jpg,38.4,0.1946,0.2412,0.1667,0.12,7,1,False,False
231,frame_0371.jpg,148.4,0.1856,0.2391,0.1667,0.08,5,1,False,False
232,frame_0186.jpg,74.4,0.184,0.252,0.1667,0.04,6,1,False,False
233,frame_0309.jpg,123.6,0.1839,0.2198,0.1667,0.12,6,1,False,False
234,frame_0200.jpg,80.0,0.1832,0.1584,0.0,0.52,2,0,False,False
235,frame_0219.jpg,87.6,0.1815,0.235,0.0,0.32,3,0,False,False
236,frame_0282.jpg,112.8,0.1796,0.1672,0.0,0.48,2,0,False,False
237,frame_0215.jpg,86.0,0.1793,0.1665,0.0,0.48,4,0,False,False
238,frame_0097.jpg,38.8,0.1772,0.2223,0.1667,0.08,6,1,False,False
239,frame_0088.jpg,35.2,0.1766,0.1772,0.0,0.44,4,0,False,False
240,frame_0324.jpg,129.6,0.1754,0.2188,0.1667,0.08,4,1,False,False
241,frame_0185.jpg,74.0,0.172,0.212,0.1667,0.08,5,1,False,False
242,frame_0171.jpg,68.4,0.1692,0.1623,0.0,0.44,2,0,False,False
243,frame_0199.jpg,79.6,0.1617,0.1314,0.0,0.48,2,0,False,False
244,frame_0393.jpg,157.2,0.1537,0.1914,0.1667,0.04,4,1,False,False
245,frame_0172.jpg,68.8,0.1521,0.1441,0.0,0.4,5,0,False,False
246,frame_0194.jpg,77.6,0.1514,0.1907,0.0,0.28,4,0,False,False
247,frame_0381.jpg,152.4,0.1453,0.1746,0.1667,0.04,4,1,False,False
248,frame_0221.jpg,88.4,0.1402,0.1844,0.0,0.24,2,0,False,False
249,frame_0191.jpg,76.4,0.1284,0.1927,0.0,0.16,2,0,False,False
250,frame_0110.jpg,44.0,0.1258,0.2036,0.0,0.12,1,0,False,False
251,frame_0273.jpg,109.2,0.1079,0.1678,0.0,0.12,3,0,False,False
252,frame_0181.jpg,72.4,0.1076,0.1993,0.0,0.04,5,0,False,False
253,frame_0109.jpg,43.6,0.099,0.1661,0.0,0.08,3,0,False,False
254,frame_0104.jpg,41.6,0.082,0.1161,0.0,0.12,3,0,False,False
255,frame_0325.jpg,130.0,0.0791,0.1422,0.0,0.04,4,0,False,False
256,frame_0180.jpg,72.0,0.0661,0.1002,0.0,0.08,1,0,False,False
